,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
11,hate shy  😩 ,hate shy   😩  ,hate shy   ,😩,😩,0
47,i want fright night i dont  😁 ,i want fright night i dont   😁  ,i want fright night i dont   ,😁,😁,0
57,social anxiety there awkward wrong  😄 ,social anxiety there awkward wrong   😄  ,social anxiety there awkward wrong   ,😄,😄,0
116,yes once people lying worse thing nightmare  😂 ,yes once people lying worse thing nightmare   😂  ,yes once people lying worse thing nightmare   ,😂,😂,0
120,confused new horror story  😩 ,confused new horror story   😩  ,confused new horror story   ,😩,😩,0
123,thats strive please dont hesitate reach way  🙂 ,thats strive please dont hesitate reach way   🙂  ,thats strive please dont hesitate reach way   ,🙂,,0
146,nervous  😭 ,nervous   😭  ,nervous   ,😭,😭,0
151, 😦 ,  😦  ,  ,😦,😦,0
161,i fright fest  😩 ,i fright fest   😩  ,i fright fest   ,😩,😩,0
188,theres song turn radio youd sit silence  😡  awful,theres song turn radio youd sit silence   😡   awful,theres song turn radio youd sit silence    awful,😡,😡,0
204,i literally shaking getting  🙄 ,i literally shaking getting   🙄  ,i literally shaking getting   ,🙄,,0
219,i shy i come shell thats  😂 ,i shy i come shell thats   😂  ,i shy i come shell thats   ,😂,😂,0
221,tomorrow day i cut dye hair  😳  nervous excited,tomorrow day i cut dye hair   😳   nervous excited,tomorrow day i cut dye hair    nervous excited,😳,,0
222,first day fall quarter tomorrow  😰  nervous excited anxious,first day fall quarter tomorrow   😰   nervous excited anxious,first day fall quarter tomorrow    nervous excited anxious,😰,😰,0
244, 😦  nervous,  😦   nervous,   nervous,😦,😦,0
256,my study terrible  😒 ,my study terrible   😒  ,my study terrible   ,😒,,0
264,theres song turn radio youd sit silence  😡 ,theres song turn radio youd sit silence   😡  ,theres song turn radio youd sit silence   ,😡,😡,0
265, 😂  bully banter laugh later nice guy x,  😂   bully banter laugh later nice guy x,   bully banter laugh later nice guy x,😂,😂,0
266,i mad i lost track brown spider brown carpet where  🕷  sneaking frightened,i mad i lost track brown spider brown carpet where   🕷   sneaking frightened,i mad i lost track brown spider brown carpet where    sneaking frightened,🕷,,0
289,as i want normal little life it wouldnt suit id restless i need i want times happy  😊 ,as i want normal little life it wouldnt suit id restless i need i want times happy   😊  ,as i want normal little life it wouldnt suit id restless i need i want times happy   ,😊,😊,0
342,so i this message sent got i weak  😩  bully reason,so i this message sent got i weak   😩   bully reason,so i this message sent got i weak    bully reason,😩,😩,0
380,recording mum let know i i let high scream  😂  horror,recording mum let know i i let high scream   😂   horror,recording mum let know i i let high scream    horror,😂,😂,0
382,ea sports technical support team  😊  me at how they were awful,ea sports technical support team   😊   me at how they were awful,ea sports technical support team    me at how they were awful,😊,😊,0
385, 🙄  i want start,  🙄   i want start,   i want start,🙄,,0
393,that boy dumb mess like  🤔  boy know good,that boy dumb mess like   🤔   boy know good,that boy dumb mess like    boy know good,🤔,,0
439, 😡  shocking  💪🏻 ,  😡   shocking   💪  🏻  ,   shocking   ,😡 💪 🏻,😡,0
455,just happen night terrible news  💔  hope  😢 ,just happen night terrible news   💔   hope   😢  ,just happen night terrible news    hope   ,💔 😢,💔 😢,0
511,hell mate absolute nightmare  😓 ,hell mate absolute nightmare   😓  ,hell mate absolute nightmare   ,😓,😓,0
521,no didnt bully professor quiz  😂 ,no didnt bully professor quiz   😂  ,no didnt bully professor quiz   ,😂,😂,0
532,dont silly doesnt want scare  😆 ,dont silly doesnt want scare   😆  ,dont silly doesnt want scare   ,😆,😆,0
559,its unbelievable security guard acting like gangster trying threaten tell home terrify annoy  😡 ,its unbelievable security guard acting like gangster trying threaten tell home terrify annoy   😡  ,its unbelievable security guard acting like gangster trying threaten tell home terrify annoy   ,😡,😡,0
579,i shaking colleen fandom everyone amazing  😍 ,i shaking colleen fandom everyone amazing   😍  ,i shaking colleen fandom everyone amazing   ,😍,😍,0
583,ill start paying attention test  🕵🏻‍♀️ ,ill start paying attention test   🕵  🏻 ‍ ♀ ️ ,ill start paying attention test  ‍️ ,🕵 🏻 ♀,,0
609,angel got nervous  😷 ,angel got nervous   😷  ,angel got nervous   ,😷,,0
622,i feel horrible i accounting today physically mentally  😪 ,i feel horrible i accounting today physically mentally   😪  ,i feel horrible i accounting today physically mentally   ,😪,😪,0
659,i miss dread head  😩 ,i miss dread head   😩  ,i miss dread head   ,😩,😩,0
667,sorry this heartbreaking scary if happen happen please safe  🙏🏻  terror,sorry this heartbreaking scary if happen happen please safe   🙏  🏻   terror,sorry this heartbreaking scary if happen happen please safe    terror,🙏 🏻,,0
670,false alarm coming today  😞 ,false alarm coming today   😞  ,false alarm coming today   ,😞,,0
682,shaking  🙃 ,shaking   🙃  ,shaking   ,🙃,,0
683,i dread math  😴 ,i dread math   😴  ,i dread math   ,😴,,0
