,Tweet,Affect Dimension,emojis,Emoji Sentiment,puretext,c_emojis,stweets
11,hate shy  😩 ,0,😩,-1.0,hate shy   ,😩,hate shy   😩  
47,i want fright night i dont  😁 ,0,😁,1.0,i want fright night i dont   ,😁,i want fright night i dont   😁  
57,social anxiety there awkward wrong  😄 ,0,😄,1.0,social anxiety there awkward wrong   ,😄,social anxiety there awkward wrong   😄  
116,yes once people lying worse thing nightmare  😂 ,0,😂,1.0,yes once people lying worse thing nightmare   ,😂,yes once people lying worse thing nightmare   😂  
120,confused new horror story  😩 ,0,😩,-1.0,confused new horror story   ,😩,confused new horror story   😩  
123,thats strive please dont hesitate reach way  🙂 ,0,🙂,0.5,thats strive please dont hesitate reach way   ,,thats strive please dont hesitate reach way   🙂  
146,nervous  😭 ,0,😭,-1.0,nervous   ,😭,nervous   😭  
151, 😦 ,0,😦,-0.5,  ,😦,  😦  
161,i fright fest  😩 ,0,😩,-1.0,i fright fest   ,😩,i fright fest   😩  
188,theres song turn radio youd sit silence  😡  awful,0,😡,-1.0,theres song turn radio youd sit silence    awful,😡,theres song turn radio youd sit silence   😡   awful
204,i literally shaking getting  🙄 ,0,🙄,-0.5,i literally shaking getting   ,,i literally shaking getting   🙄  
219,i shy i come shell thats  😂 ,0,😂,1.0,i shy i come shell thats   ,😂,i shy i come shell thats   😂  
221,tomorrow day i cut dye hair  😳  nervous excited,0,😳,0.0,tomorrow day i cut dye hair    nervous excited,,tomorrow day i cut dye hair   😳   nervous excited
222,first day fall quarter tomorrow  😰  nervous excited anxious,0,😰,-1.0,first day fall quarter tomorrow    nervous excited anxious,😰,first day fall quarter tomorrow   😰   nervous excited anxious
244, 😦  nervous,0,😦,-0.5,   nervous,😦,  😦   nervous
256,my study terrible  😒 ,0,😒,-0.5,my study terrible   ,,my study terrible   😒  
264,theres song turn radio youd sit silence  😡 ,0,😡,-1.0,theres song turn radio youd sit silence   ,😡,theres song turn radio youd sit silence   😡  
265, 😂  bully banter laugh later nice guy x,0,😂,1.0,   bully banter laugh later nice guy x,😂,  😂   bully banter laugh later nice guy x
266,i mad i lost track brown spider brown carpet where  🕷  sneaking frightened,0,🕷,0.0,i mad i lost track brown spider brown carpet where    sneaking frightened,,i mad i lost track brown spider brown carpet where   🕷   sneaking frightened
289,as i want normal little life it wouldnt suit id restless i need i want times happy  😊 ,0,😊,0.5,as i want normal little life it wouldnt suit id restless i need i want times happy   ,😊,as i want normal little life it wouldnt suit id restless i need i want times happy   😊  
342,so i this message sent got i weak  😩  bully reason,0,😩,0.1428571428571428,so i this message sent got i weak    bully reason,😩,so i this message sent got i weak   😩   bully reason
380,recording mum let know i i let high scream  😂  horror,0,😂,1.0,recording mum let know i i let high scream    horror,😂,recording mum let know i i let high scream   😂   horror
382,ea sports technical support team  😊  me at how they were awful,0,😊,0.5,ea sports technical support team    me at how they were awful,😊,ea sports technical support team   😊   me at how they were awful
385, 🙄  i want start,0,🙄,-0.5,   i want start,,  🙄   i want start
393,that boy dumb mess like  🤔  boy know good,0,🤔,0.0,that boy dumb mess like    boy know good,,that boy dumb mess like   🤔   boy know good
439, 😡  shocking  💪🏻 ,0,😡 💪 🏻,-0.3333333333333333,   shocking   ,😡,  😡   shocking   💪  🏻  
455,just happen night terrible news  💔  hope  😢 ,0,💔 😢,-0.5,just happen night terrible news    hope   ,💔 😢,just happen night terrible news   💔   hope   😢  
511,hell mate absolute nightmare  😓 ,0,😓,-0.5,hell mate absolute nightmare   ,😓,hell mate absolute nightmare   😓  
521,no didnt bully professor quiz  😂 ,0,😂,1.0,no didnt bully professor quiz   ,😂,no didnt bully professor quiz   😂  
532,dont silly doesnt want scare  😆 ,0,😆,1.0,dont silly doesnt want scare   ,😆,dont silly doesnt want scare   😆  
559,its unbelievable security guard acting like gangster trying threaten tell home terrify annoy  😡 ,0,😡,-1.0,its unbelievable security guard acting like gangster trying threaten tell home terrify annoy   ,😡,its unbelievable security guard acting like gangster trying threaten tell home terrify annoy   😡  
579,i shaking colleen fandom everyone amazing  😍 ,0,😍,1.0,i shaking colleen fandom everyone amazing   ,😍,i shaking colleen fandom everyone amazing   😍  
583,ill start paying attention test  🕵🏻‍♀️ ,0,🕵 🏻 ♀,0.0,ill start paying attention test  ‍️ ,,ill start paying attention test   🕵  🏻 ‍ ♀ ️ 
609,angel got nervous  😷 ,0,😷,-0.5,angel got nervous   ,,angel got nervous   😷  
622,i feel horrible i accounting today physically mentally  😪 ,0,😪,-0.5,i feel horrible i accounting today physically mentally   ,😪,i feel horrible i accounting today physically mentally   😪  
659,i miss dread head  😩 ,0,😩,-1.0,i miss dread head   ,😩,i miss dread head   😩  
